1978,6127.523496000001
1979,8952.04944
1980,6399.1718928
1981,2731.9185360000006
1982,0
1983,7198.682515200001
1984,1234.76544
1985,0
1986,41275.1217456
1987,9584.866728
1988,617.38272
1989,6451.649423999999
1990,802.597536
1991,9084.7867248
1992,10165.2064848
1993,0.0
1994,9804.037593600002
1995,14477.624784000001
1996,4636.5442272
1997,1947.8424816000002
1998,15388.264296000001
1999,1049.5506240000002
2000,43235.3118816
2001,11285.7561216
2002,6112.088928
2003,12014.267731200001
2004,1200.8093904
2005,6047.263742400001
2006,1941.6686544000004
2007,2265.7945824000003
2008,2021.9284080000004
2009,0
2010,6769.6015248
2011,8192.668694400001
2012,2741.1792768000005
2013,2682.5279184000005
2014,1614.4558128
2015,1145.2449456000002
2016,7022.728440000002
2017,7464.1570848
2018,629.7303744000001
2019,3278.3022432000007
2020,3111.6089088
2021,15561.131457599995
2022,1100.4846984
